,Unnamed: 0,price,Address,Total_sqft,latitude,longitude,BHK,Bathrooms
71,3579,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,28.630654,77.436644,2.0,2.0
72,3621,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1275.0,28.6259173770069,77.4369491925829,3.0,2.0
73,3794,4300000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1200.0,28.6297895,77.4338883,2.0,2.0
74,3879,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1425.0,28.630769,77.434875,2.0,2.0
75,4176,4800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,28.6297895,77.4338883,3.0,3.0
76,4242,4800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1680.0,28.624318,77.4352651129085,3.0,3.0
77,4279,3050000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1000.0,28.630282,77.437076,2.0,2.0
78,4310,4800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1660.0,28.6297895,77.4338883,3.0,3.0
79,4412,5500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1680.0,28.6297895,77.4338883,3.0,2.0
80,4447,3700000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1260.0,28.6262386706799,77.4373234293755,2.0,2.0
81,4546,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1270.0,28.6297895,77.4338883,2.0,2.0
82,4615,5500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1725.0,28.6297895,77.4338883,3.0,2.0
83,4785,3500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1150.0,28.62804,77.437809,2.0,2.0
84,5178,4200000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1295.0,28.6292391988593,77.4402883141157,2.0,2.0
85,5184,5630000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,28.6297895,77.4338883,3.0,3.0
86,5453,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1550.0,28.629808,77.440609,3.0,3.0
